,Kurtosis,Skewness,Image
4014,250.66864,15.890274,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\0321e067-d13b-47d0-b3a6-76ba6f357d02___FREC_C.Rust 3667_newPixel25.JPG
4021,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\0340baaa-e9cc-4c04-8f9b-c204180d9ae3___FREC_C.Rust 3805_newPixel25.JPG
4027,250.57623,15.885978,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394_newPixel25.JPG
4035,250.81822,15.897357,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\052e3deb-0499-4685-bc39-cea7f1df0700___FREC_C.Rust 3742_newPixel25.JPG
4041,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\064b14b5-af1b-4bcf-afe7-a061e5669dbb___FREC_C.Rust 9839_newPixel25.JPG
4047,250.82388,15.897631,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\072f23fb-0b1a-43b9-a548-3981120ff33c___FREC_C.Rust 0133_newPixel25.JPG
4068,250.79416,15.89626,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\0a41c25a-f9a6-4c34-8e5c-7f89a6ac4c40___FREC_C.Rust 9807_newPixel25.JPG
4079,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\0ce943e7-3fed-41cb-8430-0e0f54ff2bc4___FREC_C.Rust 0014_newPixel25.JPG
4103,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\1440b8ad-ba66-44dc-aeff-13515fe5eb68___FREC_C.Rust 3816_newPixel25.JPG
4122,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\18ba5927-bf67-47ff-bdcf-11056e368b60___FREC_C.Rust 4258_newPixel25.JPG
4129,250.03131,15.860751,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\19335371-d443-4629-bb10-ef4e0b7215c0___FREC_C.Rust 0064_newPixel25.JPG
4137,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\1a67f47d-d35d-4c47-a336-af8ec6141113___FREC_C.Rust 4404_newPixel25.JPG
4144,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\1a69060b-e45e-4d95-881c-f6d1960dffcd___FREC_C.Rust 0065_newPixel25.JPG
4150,250.16737,15.867461,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\1a80b84d-1a5a-4e23-8deb-823ba928e29a___FREC_C.Rust 4431_newPixel25.JPG
4156,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\1b567c7d-1041-4240-a56c-8ea94e6252b4___FREC_C.Rust 4245_newPixel25.JPG
4163,250.67252,15.890535,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\1cfc6e73-1d86-4fb9-bffb-010163531711___FREC_C.Rust 3944_newPixel25.JPG
4179,250.23232,15.869754,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\1ec3e679-2b1e-4243-9e62-67f8f04314b3___FREC_C.Rust 4328_newPixel25.JPG
4184,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\20ef08f2-96ae-4148-942c-3d7708cd94d8___FREC_C.Rust 9830_newPixel25.JPG
4199,250.96692,15.904349,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\24f68f21-8edb-49df-b0f1-d75ac66631fd___FREC_C.Rust 9937_newPixel25.JPG
4211,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\2770fd33-4612-4c09-80a7-dbac2ec8ff82___FREC_C.Rust 4049_newPixel25.JPG
4235,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\2a6fe192-977f-482c-8af7-3465448920f4___FREC_C.Rust 9919_newPixel25.JPG
4249,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\2af1177b-1a2f-4dbe-b7f1-93118342d44e___FREC_C.Rust 0036_newPixel25.JPG
4276,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\31cd0e16-01aa-442a-af4d-1162ac8a7b81___FREC_C.Rust 9889_newPixel25.JPG
4282,250.98119,15.905024,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\32ba7e2f-7ad8-480e-9f37-28469e6802af___FREC_C.Rust 9811_newPixel25.JPG
4288,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\3590e70d-8ab1-453d-ae81-0f77bdda3f60___FREC_C.Rust 3824_newPixel25.JPG
4293,251.00389,15.9060955,C:\Users\Lenovo\Downloads\01_New_Plant_Diseases_Dataset\01_New_Plant_Diseases_Dataset\train\Apple___Cedar_apple_rust\3762c9a3-83db-44b7-88be-07c048ad293b___FREC_C.Rust 9945_newPixel25.JPG
